work_year,experience_level,employment_type,job_title,salary,salary_currency,employee_residence,remote_ratio,company_location,company_size,salary_in_usd
2022,SE,FT,Data Scientist,12500,BRL,BR,100,BR,L,2428
2021,MI,FT,Data Scientist,58000,MXN,MX,0,MX,S,2859
2022,EN,FT,AI Scientist,240000,INR,IN,0,IN,S,3078
2021,MI,FT,Data Engineer,4000,USD,IR,100,IR,M,4000
2021,EN,FT,Data Scientist,4000,USD,VN,0,VN,M,4000
2022,MI,FT,NLP Engineer,120000,CZK,CZ,100,CZ,M,5132
2021,EN,FT,Power BI Developer,400000,INR,IN,50,IN,L,5409
2021,MI,FT,Data Scientist,420000,INR,IN,100,US,S,5679
2020,EN,FT,Data Science Consultant,423000,INR,IN,50,IN,M,5707
2022,MI,FT,Data Analyst,450000,INR,IN,100,IN,S,5772
2021,EN,FT,Big Data Engineer,435000,INR,IN,0,CH,L,5882
2020,EN,FT,Data Analyst,450000,INR,IN,0,IN,S,6072
2020,MI,FT,Product Data Analyst,450000,INR,IN,100,IN,L,6072
2022,EN,FT,BI Data Analyst,32400,BRL,BR,100,BR,L,6294
2022,EN,FT,Data Analyst,500000,INR,FR,100,IN,L,6413
2022,MI,CT,Analytics Engineer,7500,USD,BO,50,BO,M,7500
2022,EN,FT,Data Analyst,40300,BRL,BR,100,BR,L,7828
2022,SE,FT,Product Data Scientist,8000,USD,IN,100,SG,L,8000
2020,MI,FT,Data Analyst,8000,USD,PK,50,PK,L,8000
2022,EN,FT,BI Data Analyst,633000,INR,IN,100,IN,M,8120
2021,EN,FT,BI Data Analyst,9272,USD,KE,100,KE,S,9272
2021,MI,FT,Data Scientist,700000,INR,IN,0,IN,S,9466
2022,MI,FT,Data Scientist,10000,USD,TR,0,TR,M,10000
2022,EN,FT,Computer Vision Engineer,10000,USD,PT,100,LU,M,10000
2020,EN,FT,Data Analyst,10000,USD,NG,100,NG,S,10000
2021,EN,PT,Data Analyst,8760,EUR,ES,50,ES,M,10354
2021,EN,PT,AI Scientist,12000,USD,PK,100,US,M,12000
2021,MI,FL,Machine Learning Scientist,12000,USD,PK,50,PK,M,12000
2021,EN,PT,AI Scientist,12000,USD,BR,100,US,S,12000
2021,MI,FT,Data Engineer,108000,TRY,TR,0,TR,M,12103
2021,EN,FT,Machine Learning Research Engineer,900000,INR,IN,100,IN,M,12171
2021,MI,FT,Data Scientist,69600,BRL,BR,0,BR,S,12901
2021,EN,FT,Data Scientist,13400,USD,UA,100,UA,L,13400
2020,EN,FT,Data Engineer,1000000,INR,IN,100,IN,L,13493
2020,EN,FT,Data Engineer,1000000,INR,IN,100,IN,L,13493
