Job_title,Salary_In_USD,Large_size,Mid_Level,Senior_Level,Exec_Level,Company_Location
Data Scientist,2428,1,0,1,0,0
Data Scientist,2859,0,1,0,0,0
AI Scientist,3078,0,0,0,0,0
Data Engineer,4000,0,1,0,0,0
Data Scientist,4000,0,0,0,0,0
NLP Engineer,5132,0,1,0,0,0
Power BI Developer,5409,1,0,0,0,0
Data Scientist,5679,0,1,0,0,1
Data Science Consultant,5707,0,0,0,0,0
Data Analyst,5772,0,1,0,0,0
Big Data Engineer,5882,1,0,0,0,0
Data Analyst,6072,0,0,0,0,0
Product Data Analyst,6072,1,1,0,0,0
BI Data Analyst,6294,1,0,0,0,0
Data Analyst,6413,1,0,0,0,0
Analytics Engineer,7500,0,1,0,0,0
Data Analyst,7828,1,0,0,0,0
Product Data Scientist,8000,1,0,1,0,0
Data Analyst,8000,1,1,0,0,0
BI Data Analyst,8120,0,0,0,0,0
BI Data Analyst,9272,0,0,0,0,0
Data Scientist,9466,0,1,0,0,0
Data Scientist,10000,0,1,0,0,0
Computer Vision Engineer,10000,0,0,0,0,0
Data Analyst,10000,0,0,0,0,0
Data Analyst,10354,0,0,0,0,0
AI Scientist,12000,0,0,0,0,1
Machine Learning Scientist,12000,0,1,0,0,0
AI Scientist,12000,0,0,0,0,1
Data Engineer,12103,0,1,0,0,0
Machine Learning Research Engineer,12171,0,0,0,0,0
Data Scientist,12901,0,1,0,0,0
Data Scientist,13400,1,0,0,0,0
Data Engineer,13493,1,0,0,0,0
Data Engineer,13493,1,0,0,0,0
Machine Learning Developer,15000,1,0,0,0,0
Data Analyst,15000,1,0,0,0,0
ML Engineer,15966,0,0,0,0,0
Big Data Engineer,16228,1,0,0,0,0
Data Scientist,16904,0,1,0,0,0
Business Data Analyst,17959,0,1,0,0,0
Data Scientist,17959,0,0,0,0,0
Big Data Engineer,18000,0,1,0,0,0
AI Scientist,18053,0,0,0,0,0
Computer Vision Engineer,18907,0,0,1,0,0
Computer Vision Software Engineer,19073,1,0,0,0,0
Lead Data Analyst,19609,1,1,0,0,0
Data Analyst,20000,0,0,0,0,1
Machine Learning Research Engineer,20000,0,0,0,0,0
Data Analyst,20000,0,1,0,0,0
Product Data Analyst,20000,0,1,0,0,0
Data Analytics Engineer,20000,0,0,0,0,0
Machine Learning Engineer,20000,0,0,0,0,0
Data Engineer,20000,1,1,0,0,1
Data Scientist,20171,1,0,1,0,0
ML Engineer,21057,1,0,0,0,0
Data Engineer,21637,0,0,0,0,0
Data Scientist,21669,0,0,0,0,0
Machine Learning Engineer,21844,0,0,0,0,0
Big Data Engineer,22611,1,1,0,0,0
Machine Learning Scientist,22800,0,1,0,0,0
Data Analyst,22809,0,0,0,0,0
Data Scientist,23090,0,0,0,0,0
Data Engineer,24000,0,1,0,0,1
Data Engineer,24000,0,1,0,0,1
Computer Vision Engineer,24000,0,0,1,0,0
Machine Learning Engineer,24342,1,0,1,0,0
Machine Learning Engineer,24823,0,0,0,0,0
Machine Learning Engineer,24823,1,1,0,0,0
Data Scientist,25000,0,1,0,0,0
Data Engineer,25000,0,0,1,0,1
Data Scientist,25532,0,1,0,0,0
Data Engineer,26005,1,1,0,0,1
Data Engineer,28016,0,1,0,0,0
Data Engineer,28369,1,1,0,0,0
Data Scientist,28399,0,0,0,0,0
Data Analyst,28427,0,0,0,0,0
Data Engineer,28476,1,1,0,0,0
Computer Vision Engineer,28609,0,0,0,0,0
Data Scientist,29751,1,0,0,0,0
Data Scientist,30000,1,1,0,0,0
Machine Learning Engineer,30000,1,0,0,0,0
Lead Data Scientist,30006,0,0,1,0,0
Data Engineer,30428,1,0,0,0,0
Applied Machine Learning Scientist,30533,0,0,0,0,0
Applied Machine Learning Scientist,30787,0,1,0,0,0
Data Scientist,30787,1,1,0,0,0
AI Scientist,31586,0,0,0,0,0
Data Scientist,31586,0,0,0,0,0
Data Analyst,31586,0,1,0,0,0
Data Analyst,31586,0,1,0,0,0
Head of Data,31586,0,1,0,0,0
Data Scientist,33440,1,0,0,0,0
Data Engineer,33511,0,0,1,0,0
Data Scientist,33681,1,1,0,0,0
Data Scientist,33808,0,1,0,0,0
Machine Learning Engineer,35298,1,0,0,0,0
Data Scientist,35735,1,1,0,0,0
NLP Engineer,35988,1,1,0,0,1
BI Data Analyst,36259,1,1,0,0,1
Data Scientist,36643,1,0,0,0,0
Data Analyst,36850,0,0,1,0,0
Data Analyst,36850,0,0,1,0,0
Data Analyst,36850,0,0,1,0,0
Data Analyst,37156,0,1,0,0,0
Data Scientist,37156,0,1,0,0,0
Data Scientist,37825,1,1,0,0,0
Data Scientist,37903,0,0,1,0,0
Data Scientist,37903,0,0,1,0,0
Data Scientist,38000,0,0,1,0,1
Data Scientist,38000,0,0,1,0,1
Data Scientist,38000,0,0,1,0,1
Applied Machine Learning Scientist,38400,0,1,0,0,1
Principal Data Architect,38483,1,0,1,0,0
Data Scientist,38776,0,1,0,0,0
Data Scientist,39916,0,0,0,0,0
Data Scientist,40000,1,0,0,0,0
Data Scientist,40009,1,0,0,0,0
Data Scientist,40038,1,1,0,0,0
Data Science Engineer,40189,0,1,0,0,0
Data Scientist,40481,1,1,0,0,0
Lead Data Scientist,40570,1,0,1,0,0
Data Engineer,41689,0,0,0,0,0
Data Engineer,42000,0,1,0,0,0
Research Scientist,42000,1,0,0,0,0
Data Analyst,42028,1,0,0,0,0
Data Engineer,42114,0,0,1,0,0
Data Analyst,42114,0,1,0,0,0
Data Analyst,42114,0,1,0,0,0
Data Scientist,42197,0,1,0,0,0
Machine Learning Engineer,43331,0,1,0,0,0
Data Scientist,43349,0,1,0,0,0
Data Engineer,43349,0,0,0,0,0
Data Analyst,43349,0,1,0,0,0
BI Data Analyst,45388,1,1,0,0,0
Data Engineer,45390,1,0,0,0,0
Data Engineer,45391,1,1,0,0,0
Machine Learning Engineer,45618,0,0,1,0,0
Data Scientist,45760,0,1,0,0,1
AI Scientist,45896,0,0,0,0,0
Data Analyst,46000,1,0,0,0,1
Machine Learning Engineer,46597,1,1,0,0,0
Data Analyst,46759,1,1,0,0,0
Data Scientist,46809,0,1,0,0,0
Machine Learning Engineer,47282,0,1,0,0,0
Data Scientist,47379,0,0,1,0,0
Data Scientist,47379,0,0,1,0,0
Data Engineer,47379,0,1,0,0,0
Data Engineer,47379,0,1,0,0,0
Data Engineer,47899,1,0,1,0,0
Analytics Engineer,48000,0,1,0,0,0
BI Analyst,48000,0,1,0,0,0
Analytics Engineer,48000,0,0,1,0,1
Data Scientist,48000,0,1,0,0,1
Data Scientist,49268,0,0,0,0,0
Data Engineer,49542,0,0,0,0,0
Data Analyst,49542,0,1,0,0,0
Data Engineer,49542,0,1,0,0,0
Data Engineer,49542,0,0,0,0,0
Data Scientist,49646,0,0,0,0,0
Data Scientist,50000,0,0,1,0,1
Data Engineer,50000,0,0,1,0,1
Data Scientist,50000,0,0,1,0,1
AI Scientist,50000,0,0,0,0,1
Business Data Analyst,50000,1,0,0,0,0
Data Scientist,50000,0,0,0,0,0
Data Analyst,50000,0,0,1,0,0
Data Analyst,50000,1,0,0,0,0
Applied Data Scientist,50000,0,0,0,0,0
Data Analyst,50000,0,1,0,0,1
Data Analyst,50000,0,0,0,0,1
Data Scientist,50000,1,1,0,0,0
Data Analytics Engineer,50000,0,0,1,0,0
Research Scientist,50000,0,0,1,0,1
Machine Learning Infrastructure Engineer,50180,0,1,0,0,0
Data Analyst,50537,0,0,1,0,0
Data Analyst,50537,0,0,1,0,0
Data Analyst,50537,0,0,1,0,0
BI Data Analyst,50537,0,1,0,0,0
Machine Learning Engineer,51064,1,1,0,0,0
Data Scientist,51321,0,0,0,0,0
Data Scientist,51459,1,0,0,0,0
Data Analyst,51519,1,1,0,0,0
Data Analyst,52000,0,0,0,0,0
Data Scientist,52117,0,0,0,0,0
Data Analyst,52500,0,0,1,0,1
Data Analyst,52500,0,1,0,0,1
ETL Developer,52643,0,1,0,0,0
ETL Developer,52643,0,1,0,0,0
Data Engineer,52643,1,1,0,0,0
Data Scientist,53192,1,0,1,0,0
BI Data Analyst,53767,0,1,0,0,0
Data Scientist,53877,1,1,0,0,0
Data Scientist,54000,0,1,0,0,0
Analytics Engineer,54000,0,1,0,0,1
Data Engineer,54000,0,0,1,0,1
Data Science Manager,54094,1,0,1,0,1
