job_title,Salary_In_USD,Remote_Ratio,Company_Size,Experience_Level,Work_Year,Company_Location
Data Scientist,2428,0,2,2,2,1
Data Scientist,2859,0,0,1,1,1
AI Scientist,3078,0,0,0,2,1
Data Engineer,4000,2,1,1,1,1
Data Scientist,4000,0,1,0,1,1
NLP Engineer,5132,2,1,1,2,1
Power BI Developer,5409,1,2,0,1,1
Data Scientist,5679,2,0,1,1,0
Data Science Consultant,5707,1,1,0,0,1
Data Analyst,5772,2,0,1,2,1
Big Data Engineer,5882,0,2,0,1,1
Data Analyst,6072,0,0,0,0,1
Product Data Analyst,6072,2,2,1,0,1
BI Data Analyst,6294,2,2,0,2,1
Data Analyst,6413,2,2,0,2,1
Analytics Engineer,7500,1,1,1,2,1
Data Analyst,7828,2,2,0,2,1
Product Data Scientist,8000,2,2,2,2,1
Data Analyst,8000,1,2,1,0,1
BI Data Analyst,8120,2,1,0,2,1
BI Data Analyst,9272,2,0,0,1,1
Data Scientist,9466,0,0,1,1,1
Data Scientist,10000,0,1,1,2,1
Computer Vision Engineer,10000,2,1,0,2,1
Data Analyst,10000,2,0,0,0,1
Data Analyst,10354,1,1,0,1,1
AI Scientist,12000,2,1,0,1,0
Machine Learning Scientist,12000,1,1,1,1,1
AI Scientist,12000,2,0,0,1,0
Data Engineer,12103,0,1,1,1,1
Machine Learning Research Engineer,12171,2,1,0,1,1
Data Scientist,12901,0,0,1,1,1
Data Scientist,13400,2,2,0,1,1
Data Engineer,13493,2,2,0,0,1
Data Engineer,13493,2,2,0,0,1
Machine Learning Developer,15000,2,2,0,1,1
Data Analyst,15000,0,2,0,2,1
ML Engineer,15966,2,0,0,0,1
Big Data Engineer,16228,2,2,0,1,1
Data Scientist,16904,2,0,1,1,1
Business Data Analyst,17959,2,1,1,2,1
Data Scientist,17959,2,1,0,2,1
Big Data Engineer,18000,0,0,1,1,1
AI Scientist,18053,2,0,0,1,1
Computer Vision Engineer,18907,0,1,2,1,1
Computer Vision Software Engineer,19073,1,2,0,1,1
Lead Data Analyst,19609,2,2,1,1,1
Data Analyst,20000,1,1,0,2,0
Machine Learning Research Engineer,20000,1,1,0,1,1
Data Analyst,20000,2,0,1,2,1
Product Data Analyst,20000,0,0,1,0,1
Data Analytics Engineer,20000,0,1,0,2,1
Machine Learning Engineer,20000,2,0,0,1,1
Data Engineer,20000,0,2,1,1,0
Data Scientist,20171,1,2,2,1,1
ML Engineer,21057,2,2,0,2,1
Data Engineer,21637,1,1,0,1,1
Data Scientist,21669,1,0,0,0,1
Machine Learning Engineer,21844,1,1,0,1,1
Big Data Engineer,22611,0,2,1,1,1
Machine Learning Scientist,22800,2,1,1,2,1
Data Analyst,22809,2,1,0,0,1
Data Scientist,23090,1,1,0,2,1
Data Engineer,24000,0,1,1,2,0
Data Engineer,24000,0,1,1,2,0
Computer Vision Engineer,24000,2,1,2,1,1
Machine Learning Engineer,24342,2,2,2,1,1
Machine Learning Engineer,24823,1,1,0,1,1
Machine Learning Engineer,24823,1,2,1,1,1
Data Scientist,25000,1,1,1,2,1
Data Engineer,25000,2,1,2,2,0
Data Scientist,25532,2,0,1,1,1
Data Engineer,26005,0,2,1,1,0
Data Engineer,28016,2,1,1,1,1
Data Engineer,28369,1,2,1,1,1
Data Scientist,28399,2,1,0,1,1
Data Analyst,28427,1,1,0,2,1
Data Engineer,28476,2,2,1,1,1
Computer Vision Engineer,28609,1,0,0,1,1
Data Scientist,29751,1,2,0,1,1
Data Scientist,30000,2,2,1,2,1
Machine Learning Engineer,30000,2,2,0,2,1
Lead Data Scientist,30006,1,0,2,2,1
Data Engineer,30428,2,2,0,1,1
Applied Machine Learning Scientist,30533,2,1,0,2,1
Applied Machine Learning Scientist,30787,2,0,1,2,1
Data Scientist,30787,2,2,1,2,1
AI Scientist,31586,2,1,0,2,1
Data Scientist,31586,1,1,0,2,1
Data Analyst,31586,2,1,1,2,1
Data Analyst,31586,2,1,1,2,1
Head of Data,31586,2,0,1,2,1
Data Scientist,33440,1,2,0,2,1
Data Engineer,33511,0,0,2,0,1
Data Scientist,33681,2,2,1,2,1
Data Scientist,33808,0,1,1,1,1
Machine Learning Engineer,35298,2,2,0,2,1
Data Scientist,35735,1,2,1,0,1
NLP Engineer,35988,1,2,1,2,0
BI Data Analyst,36259,1,2,1,1,0
Data Scientist,36643,1,2,0,1,1
Data Analyst,36850,0,1,2,2,1
Data Analyst,36850,0,1,2,2,1
Data Analyst,36850,0,1,2,2,1
Data Analyst,37156,2,1,1,2,1
Data Scientist,37156,0,1,1,2,1
Data Scientist,37825,2,2,1,1,1
Data Scientist,37903,0,1,2,2,1
Data Scientist,37903,0,1,2,2,1
Data Scientist,38000,2,1,2,2,0
